city,state,name,longitude,latitude,url,description,length
Cocoa,Florida,Bracco Pond Reservoir Trail,-80.938328,28.389785,http://www.tripleblaze.com/trail.php?c=3&i=2514,This easy multi-use trail wondered through pine uplands forest.,2.00
Merritt Island,Florida,Island Pioneer Trail,-80.675413,28.434396,http://www.tripleblaze.com/trail.php?c=3&i=2521,Also known as the George Hamilton Trail this is a multi-use trail offering glimpses into the wetlands that used to cover Merritt Island.,1.00
Port St. John,Florida,Fay Lake Wilderness Area Trail,-80.834271,28.463443,http://www.tripleblaze.com/trail.php?c=3&i=2518,This trail follows the property line around the wilderness area.,2.00
Spring Hill,Florida,Weeki Wachee Preserve Trail,-82.638975,28.479825,http://www.tripleblaze.com/trail.php?c=3&i=2529,"This is a very nice Florida Preserve. There are man-made lakes created from mining. The water is crystal clear and you can see the bottom until it drops off. There are trails that go around the lakes and a trail that goes into the swamp where there are freshwater and saltwater marshes, and pine-covered sandhills.",10.00
Orlando,Florida,"Econlockhatchee River, The Hal Scott Preserve",-81.0958,28.48636,http://www.tripleblaze.com/trail.php?c=3&i=569,"Econlockhatchee River, The Hal Scott Preserve features 15 miles of hiking trails near Orlando, FL.",15.00
Merritt Island,Florida,Kabboord Sanctuary Trail,-80.673238,28.496691,http://www.tripleblaze.com/trail.php?c=3&i=2527,This trail follows an old road and is dry most of the year.,5.00
Orlando,Florida,"Christmas, Tosohatchee State Reserve ",-80.96048,28.49721,http://www.tripleblaze.com/trail.php?c=3&i=568,"Christmas, Tosohatchee State Reserve  features 10 miles of hiking trails near Orlando, FL.",10.00
Titusville,Florida,Kennedy Space Center Visitor Complex,-80.681276,28.521645,http://www.tripleblaze.com/trail.php?c=3&i=1891,"Kennedy Space Center offers you the opportunity to see the Past, Present and Future of the United States Space Program. with interactive exhibits to actual rockets of the Space race this is truly a great trip with the family!",0.00
Titusville,Florida,City of Titusville Multi-use Trail,-80.824397,28.555727,http://www.tripleblaze.com/trail.php?c=3&i=2510,This is a paved urban multi-use trail,2.00
Brooksville,Florida,Silver Lake Recreation Complex,-82.22397,28.57179,http://www.tripleblaze.com/trail.php?c=3&i=8571,Trail goes through cypress ponds &amp; a long  Silver Lake &amp; through hardwood hammocks.,4.00
Brooksville,Florida,Low Water Trail,-82.21812,28.57818,http://www.tripleblaze.com/trail.php?c=3&i=8572,Trail goes along the lake &amp; through cypress ponds.,3.00
Brooksville,Florida,High Water Trail,-82.21791,28.57848,http://www.tripleblaze.com/trail.php?c=3&i=8573,Trail goes through oak hammocks.,2.00
Orlando,Florida,Econlockhatchee Sandhills Conservation Area,-81.153798,28.588196,http://www.tripleblaze.com/trail.php?c=3&i=2969,"This property is about 706 acres covering sandy pine flatwoods and floodplains of the Econlockhatchee River. The property protects nearly 1.5 miles of the river, although there are few access points to the river",0.00
Brooksville,Florida,Withlacoochee State Forest/ Croom &quot;A&quot; Loop,-82.28249,28.593044,http://www.tripleblaze.com/trail.php?c=3&i=2978,"This trail is part of the Florida Trailwalker Program. It is a 7.7 mile loop that starts at the Tucker Hill Trailhead just East of Brooksville. You start out on the A-B Loop Cross Trail and then connect to A Loop which takes you back to your starting point. It is shaded by tall overhead Pines, and Oaks.  There are many rolling hills along the way. There is no water or toilets available.",8.00
Brooksville,Florida,Withlacoochee State Forest - Croom Sec.,-82.29602,28.59353,http://www.tripleblaze.com/trail.php?c=3&i=877,Great network of hiking trails.,14.00
Brooksville,Florida,Big Pine Tract,-82.3769,28.59858,http://www.tripleblaze.com/trail.php?c=3&i=3707,They have a restroom &amp; a place for a picinic. Nice little trail.,2.00
Oviedo,Florida,Econ River Wilderness Area,-81.174212,28.613468,http://www.tripleblaze.com/trail.php?c=3&i=2787,This small wilderness area (240 acre) offers a wonderful day trip for the family . The main loop trail takes you from pine flatwoods through a bayhead swamp and along the cypress river swamp that follows the Econ river.,3.00
Brooksville,Florida,Fickett Hammock Preserve,-82.47076,28.61408,http://www.tripleblaze.com/trail.php?c=3&i=4291,"This preserve is covered with forest and includes hardwood hammock, seasonally flowing streams, and saw palmetto thickets. Interesting tree species include hickory, dogwood, longleaf pine, hophornbeam, ironwood, American holly, and swamp chestnut oak. The trail passes through oak hammocks, hickory groves, sparkleberry thickets, and flatwoods before returning hikers to the parking lot.",1.00
Weeki Wachee,Florida,Annutteliga Hammock,-82.543179,28.61483,http://www.tripleblaze.com/trail.php?c=3&i=3141,"This is an area with lots of sandy ground, karst limerock outcroppings, and lots of sandhills, hardwood forests, and scrub communities. This property links with the Chassahowwitzka Wildlife Management Area, which is a prime black bear habitat.&lt;br /&gt;<br />There are some interior trail that goes through the forest. The other trail follows the property line.&lt;br /&gt;<br />There are no restrooms or water available here.",5.00
Brooksville,Florida,Perry Oldenburg WEA,-82.33443,28.6151,http://www.tripleblaze.com/trail.php?c=3&i=5098,"Hiking is most pleasant in the cooler, winter season or early in the day in warmer months. Visitors may hike along the 1.5 mile trail through the sandhills and hardwood hammock, along the powerline right-of-way, or across the 0.5-mile segment of the Florida Trail Association segment.",2.00
Nobleton,Florida,Withlacoochee State Forest/ Croom Tract - Hog Island Trail,-82.237457,28.618954,http://www.tripleblaze.com/trail.php?c=3&i=2393,"This trail is part of the Florida Trailwalker Program. It is a loop trail near the Withlacoochee River. It is forested and pretty flat with lots of trees, saw palmettos, and flowers.",2.00
Nobleton,Florida,Withlacoochee State Forest/ Croom - River Trail,-82.239903,28.619519,http://www.tripleblaze.com/trail.php?c=3&i=2243,"This trail is part of the Florida Trailwalker Program. This is a linear that trail runs alongside the Withlacoochee River and is heavily forested. The land is very flat, which makes it an easy trail, except for the long distance.",7.00
Brooksville,Florida,Conservation Center Tract,-82.35253,28.62981,http://www.tripleblaze.com/trail.php?c=3&i=3708,They have an information center &amp; a bird viewing blind. Plus some old settlement history.,2.00
Titusville,Florida,Chain of Lakes Regional Park Trail,-80.821973,28.638136,http://www.tripleblaze.com/trail.php?c=3&i=2511,Offers great birding opportunities as it wonders through the BCC Titusville Campus.,3.00
Lake Lindsey,Florida,Withlacoochee State Forest/ Headquarters Tract - McKethan Lake Trail,-82.335753,28.645208,http://www.tripleblaze.com/trail.php?c=3&i=2395,This trail is part of the Florida Trailwalker Program. It is a loop trail around McKethan Lake. There is a brochure at the trailhead with points of interest coordinating with posted numbers along the trail providing information about the forest.,2.00
Bushnell,Florida,Dade Battlefield Historic State Park,-82.125642,28.654745,http://www.tripleblaze.com/trail.php?c=3&i=3842,"Take a leisurely 20 minute walk along the Pine Flatwoods Trail. This trail acquaints visitors with the native pine woods that is home to gopher tortoise, a variety of snakes, woodpeckers and other animals. Review the events of the battle by walking the short battlefield trail. This trail actually follows a stretch of the historic Fort King Military Road. It displays interpretive labels, along with monuments to Dade and his command. There is also a 10K Florida Volkssport Association trail that thoroughly covers the park sites and continues on into the neighboring community.",0.00
Goliad,Texas,Goliad State Park &amp; Historic Site,-97.385363,28.656482,http://www.tripleblaze.com/trail.php?c=3&i=5551,Great hikes in the area.,0.00
Weeki Wachee,Florida,2 Mile Tram,-82.55246,28.65807,http://www.tripleblaze.com/trail.php?c=3&i=4443,"The trail is a long abandoned logging tram that heads directly west, deep into the heart of Chassahowitzka Swamp.",4.00
Weeki Wachee,Florida,Pull TreeTram,-82.55241,28.65812,http://www.tripleblaze.com/trail.php?c=3&i=4442,"Walk down this shady path, an abandoned logging roadway that fingers deep into the swamp. This was one of the many spurs or trams that were built to retrieve the felled cypress trees. Here you'll gain a strong sense of the lost world of the ancient cypress. Huge stumps will give you a sense of the circumference of the mighty trees that once dominated the forest. About 10 minutes down the trail you'll notice an enormous fallen cypress trunk on the right, filled now like a planter with a variety of ferns and palmetto.",2.00
Weeki Wachee,Florida,Cypress Circle,-82.55238,28.65812,http://www.tripleblaze.com/trail.php?c=3&i=4447,The trails takes you around a cypress hammock.,2.00
Weeki Wachee,Florida,Wild Turkey Trace,-82.55234,28.65812,http://www.tripleblaze.com/trail.php?c=3&i=4444,The trail takes you through scrub oak &amp; pine forest.,1.00
Orlando,Florida,Little Big Econ State Forest,-81.11421,28.67334,http://www.tripleblaze.com/trail.php?c=3&i=311,"Little Big Econ State Forest gets its name from the Little Econlockhatchee River and the larger Econlockhatchee which both flow through it. 9,563 acres in size, this forest is home to a number of different hiking trails.",12.00
Astatula,Florida,Lake Apopka Restoration Area,-81.70731,28.67457,http://www.tripleblaze.com/trail.php?c=3&i=1948,"Lake Apopka Restoration Area features 14 miles of hiking trails near Astatula, FL.",14.00
Brooksville,Florida,Annutteliga Hammock Unit,-82.45141,28.67647,http://www.tripleblaze.com/trail.php?c=3&i=4703,"This is a 7,088 acre forest. You can find xeric hammock &amp; a landscape dominated by karst londforms. You can find depressions, sinks &amp; caves. There is two loops, the north loop &amp; the south loop. The north loop is 4 miles &amp; the trail is wide. The south loop is 2 miles &amp; the trail is tighter &amp; more like a trail. Also has a primitive camp site.",6.00
Geneva,Florida,Barr Street,-81.15952,28.68699,http://www.tripleblaze.com/trail.php?c=3&i=8206,You walk along the river &amp; through hammocks. This is also a Trailwalker trail.,5.00
Mims,Florida,Buck Lake Conservation Area Trail,-80.926316,28.687261,http://www.tripleblaze.com/trail.php?c=3&i=2513,"Caution during hunting season, Wet during the wet season.",12.00
Geneva,Florida,Black Hammock Wilderness Area,-81.1591,28.69895,http://www.tripleblaze.com/trail.php?c=3&i=8207,"The Black Hammock Wilderness Area (BHWA) is a 700 acre site located in east&lt;br /&gt;<br />Seminole County near the town of Geneva. This site contains a diverse collection of native plant communities and wildlife and helps protect important recharge areas for&lt;br /&gt;<br />the Geneva Bubble (local aquifer). Additionally, the wetland habitats of this property filter water on its way to Lake Jesup. The trail takes you on a boardwalk over a mixed hardwood swamp, through pine flatwoods &amp; sand pine scrubs.",5.00
Inverness,Florida,Citrus Loop &quot;D&quot;,-82.40634,28.70237,http://www.tripleblaze.com/trail.php?c=3&i=4704,"This trail has many hills &amp; oak hammocks along the way. You will pass by Stage Pond, Brush Sink &amp; Lizzie Hart Sink",14.00
Geneva,Florida,Geneva Wilderness Loop Trail,-81.123773,28.708819,http://www.tripleblaze.com/trail.php?c=3&i=2982,"This wilderness area contains about 5  miles of trail that connect to the Little Big Econ State Forest to the south. There is also the Ed Yarborough Nature Center, although I have never seen it open. The trails wander through several habitats, including scrub, pine flatwoods, marshes and has a small lake system",5.00
Orlando,Florida,Environmental Center,-81.30924,28.72174,http://www.tripleblaze.com/trail.php?c=3&i=241,"Environmental Center features 5 miles of hiking trails near Orlando, FL.",5.00
Apopka,Florida,Wekiwa Springs State Park,-81.4733,28.72386,http://www.tripleblaze.com/trail.php?c=3&i=501,"Wekiwa Springs State Park features 9 miles of hiking trails near Apopka, FL.",9.00
Homosassa,Florida,Chassahowitzka River and Coastal Swamps,-82.556602,28.745842,http://www.tripleblaze.com/trail.php?c=3&i=3090,This trail is part of the Florida Trailwalker Program. They call it &quot;Rooks.&quot; It is a linear trail and is about 2.5 miles round trip. The trail runs thorough a densely forested wetland area.,2.00
Inverness,Florida,Citrus Loop &quot;C&quot;,-82.3536,28.7557,http://www.tripleblaze.com/trail.php?c=3&i=3745,"Trail runs through small oak thickets, pine trees &amp; can be sandy in some places.",17.00
Scottsmoor,Florida,Turnbull Hammock Trail,-80.896649,28.769118,http://www.tripleblaze.com/trail.php?c=3&i=2503,This trail is on the Florida birding trail,2.00
Homosassa,Florida,Chassahowitska Salt Marsh Trails / Red Cedar Trail,-82.62763,28.77209,http://www.tripleblaze.com/trail.php?c=3&i=6424,"This is a 10 acre salt marsh refuge with an observation tower overlooking the salt marsh, a covered pavilion, several nature trails and a kayak and canoe launch.",0.00
Homosassa,Florida,Chassahowitzka Salt Marsh Trails / Dick Blewett,-82.62765,28.7721,http://www.tripleblaze.com/trail.php?c=3&i=6422,"This is a 10 acre salt marsh refuge with an observation tower overlooking the salt marsh, a covered pavilion, several nature trails and a kayak and canoe launch",1.00
Homosassa,Florida,Chassahowitzka Salt Marsh Trails / Lastinger Tower Trail,-82.62763,28.77211,http://www.tripleblaze.com/trail.php?c=3&i=6425,"From Crystal River head South on US19 into Homosassa, turn Right onto Yulee Dr, then turn Right onto Mason Creek Rd. The trailhead is on the Right side of the road alittle ways down. From Brooksville head North on US19 to Homosassa, turn Left onto Yulee Dr then Left onto Mason Creek Rd. Trailhead is on the right alittle ways up.",0.00
Lake Panasoffkee,Florida,Bear Island Trailhead,-82.14828,28.78667,http://www.tripleblaze.com/trail.php?c=3&i=8565,Walking thru a swamp hammock &amp; some oak hammocks.,4.00
Lake Panasoffkee,Florida,Kettle Island Trailhead,-82.14829,28.78729,http://www.tripleblaze.com/trail.php?c=3&i=8566,Swamp,6.00
Lake Panasoffkee,Florida,Otter Slough Trailhead,-82.14758,28.78993,http://www.tripleblaze.com/trail.php?c=3&i=8564,Some oak hammocks &amp; saw palmettos.,2.00
Lake Panasoffkee,Florida,Jumper Creek,-82.14674,28.79123,http://www.tripleblaze.com/trail.php?c=3&i=8563,Mostly swamp with scattered oaks.,12.00
Sanford,Florida,Rock Springs Reserve,-81.45025,28.79561,http://www.tripleblaze.com/trail.php?c=3&i=2140,"Rock Springs Reserve features 12 miles of hiking trails near Sanford, FL.",12.00
Inverness,Florida,Citrus Loop &quot;B&quot;,-82.38272,28.79929,http://www.tripleblaze.com/trail.php?c=3&i=4579,Most of this trail is hilly &amp; pine hammocks with some old oaks.,14.00
Lecanto,Florida,Withlacoochee State Forest/ Citrus &quot;A&quot; Loop,-82.382751,28.799496,http://www.tripleblaze.com/trail.php?c=3&i=2979,This trail is a part of the Florida Trailwalker Program. It is described as being one of the most rugged trails is Florida. There were quite a few big hills along the way. It takes you through a mix of dense oak and cypress forest and open pine forest. There are no toilets or water available.,8.00
Inverness,Florida,Withlacoochee State Forest,-82.382172,28.799533,http://www.tripleblaze.com/trail.php?c=3&i=3255,"There are a number of different trails in Withlacoochee State Forest, as well as several different tracts of land and different management techniques. Click on the individual trail listings for more detailed trail information.",30.00
Inverness,Florida,Fort Cooper State Park,-82.29916,28.81435,http://www.tripleblaze.com/trail.php?c=3&i=3712,They have part of the fort wall that was used in the Seminole War. They have restrooms &amp; picnic pavilions.,6.00
Sanford,Florida,Lake Monroe Conservation Area,-81.185175,28.820545,http://www.tripleblaze.com/trail.php?c=3&i=2973,"Cattle are free ranged on the conservation land, and there are a few old farm structures (barns, corrales, etc.) that are not marked on any maps. Also, there are 2 campsites and a foul weather shelter on the St. Johns River. Most of the land is sabal palm and oak hammock in the expansive flood plain of the St. Johns River. That being said, after lots of rain, or during the summer, the trails may be under 3 to 5 feet of water in places.",5.00
Inverness,Florida,Flying Eagle Preserve,-82.25026,28.82133,http://www.tripleblaze.com/trail.php?c=3&i=5099,"This property is a mosaic of small lakes, marshes and swamps, with numerous scattered islands of forested uplands. A broad mixture of hardwood and cypress swamps covers the floodplain of the Withlacoochee River.",16.00
Inverness,Florida,Flying Eagle Preserve first gate,-82.25661,28.8215,http://www.tripleblaze.com/trail.php?c=3&i=5100,"This property is a mosaic of small lakes, marshes and swamps, with numerous scattered islands of forested uplands. A broad mixture of hardwood and cypress swamps covers the floodplain of the Withlacoochee River.",4.00
Sanford,Florida,Lake Monroe Conservation Area - Kratzert Tract,-81.189123,28.825692,http://www.tripleblaze.com/trail.php?c=3&i=2983,"The Kratzert Tract of the Lake Monroe Conservation area is a wildlife management area, meaning hunting is allowed here during hunting season. USE CAUTION during deer season (i don't even go here until after general gun season is over). While there is a 1.4 mile loop marked on the maps, there are many other hunting trails, and a blue-blazed trail within the area. About a mile or so from the parking lot is a campground that can be found by following the sign at the trail intersection. This tract is huge and borders the St. Johns river.&lt;br /&gt;<br />&lt;br /&gt;<br />SJWMD site link: http://www.sjrwmd.com/recreationguide/lakemonroe/",0.00
Osteen,Florida,Hickory Bluff Preserve,-81.118663,28.83284,http://www.tripleblaze.com/trail.php?c=3&i=3004,"Hickory Bluff is a 150 acre preserve situated on the St. Johns. The trails wander through dry sandy scrub to the river. Next to the river is a group camp site, including a fire ring, benches, a pavilion and picnic benches. The river is wide and deep offering swimming and fishing. This preserve is not very big, but great for an afternoon hike or camping trip.&lt;br /&gt;<br />&lt;br /&gt;<br />Volusia County site: http://volusia.org/growth/hickory.htm",2.00
Inverness,Florida,Whispering Pines Park,-82.35244,28.83862,http://www.tripleblaze.com/trail.php?c=3&i=3709,"There is restrooms, a swimming pool &amp; other recreational things also.",3.00
Inverness,Florida,Withlacoochee State Forest/ Two Mile Prairie Tract - Johnson Pond,-82.348814,28.840013,http://www.tripleblaze.com/trail.php?c=3&i=2531,This trail is part of the Florida Trailwalker Program. It is a nice hike around a pond. There isn't much cover from above and it is pretty dry. There is some interesting coral-looking moss covering much of the ground and there is lots of sand.,2.00
Inverness,Florida,Withlacoochee State Forest/ Two Mile Prairie Tract - Oxbow Trail,-82.348911,28.846999,http://www.tripleblaze.com/trail.php?c=3&i=2530,"This trail is part of the Florida Trailwalker Program. It is a pretty short loop trail that features a small lake. There are palmettos, pines, scrubs, and oaks.",1.00
Lecanto,Florida,The J. Murray &amp; Alma B. Davis Heritage Site,-82.48656,28.8503,http://www.tripleblaze.com/trail.php?c=3&i=8481,Just a short wooded trail that points out some old historical sites.,1.00
Leesburg,Florida,Seminole State Forest/ Lower Wekiva,-81.478993,28.867897,http://www.tripleblaze.com/trail.php?c=3&i=3086,"This trail is part of the Florida Trailwalker Program. It is a 10.6 mile loop. Seminole State Forest is known for having all of the naturally occurring vegetative communities found in Central Florida. A few examples of communities are flatwoods, scrub, blackwater streams and bottomland forests. This area is also known for its Florida black bear population.",11.00
Leesburg,Florida,Seminole State Forest/ Sulphur Island,-81.476934,28.868398,http://www.tripleblaze.com/trail.php?c=3&i=3087,"This trail is part of the Florida Trailwalker Program. It is an 8 mile linear/loop trail. Seminole State Forest is known for having all of the naturally occurring vegetative communities found in Central Florida. A few examples of communities are flatwoods, scrub, blackwater streams and bottomland forests. This area is also known for its Florida black bear populatio",8.00
Leesburg,Florida,Seminole State Forest,-81.485545,28.87195,http://www.tripleblaze.com/trail.php?c=3&i=3265,"Seminole State Forest is known for having all of the naturally occurring vegetative communities found in Central Florida. A few examples of communities are flatwoods, scrub, blackwater streams and bottomland forests. This area is also known for its Florida black bear populatio",40.00
Rutland,Florida,Half Moon WMA,-82.22031,28.87252,http://www.tripleblaze.com/trail.php?c=3&i=3734,"There is a restroom &amp; picnic areas, but no water. There are four trails, the yellow loop is 3.5 miles, the blue loop is 2.7 miles, the white loop is 1.8 miles &amp; the gateway loop is 1.2 miles.",20.00
Wildwood,Florida,Lake Panasoffkee,-82.13469,28.87425,http://www.tripleblaze.com/trail.php?c=3&i=3715,They have a restroom &amp; a picnic pavilion. they also hunt out there so make sure it isn't hunting season when you go.,18.00
Crystal River,Florida,Dixie Shores : Marsh &amp; Hammock Trail,-82.61491,28.87822,http://www.tripleblaze.com/trail.php?c=3&i=4159,This trail takes you into the marsh &amp; into scrubby flatwoods. The trail maybe under acouple inches of wtaer in certain times of the year.,2.00
Crystal River,Florida,Dixie Shores :  Lakes Trail,-82.61676,28.87882,http://www.tripleblaze.com/trail.php?c=3&i=4156,The trail takes you around acouple lakes &amp; through some hammocks.,3.00
Deltona,Florida,Palm Bluff,-81.137589,28.888108,http://www.tripleblaze.com/trail.php?c=3&i=3072,SJWMD Site: http://www.sjrwmd.com/recreationguide/palmbluff/,10.00
Crystal River,Florida,Redfish Hole,-82.62061,28.89754,http://www.tripleblaze.com/trail.php?c=3&i=4152,This is a bird watching trail that takes you out into the salt march.,2.00
Inverness,Florida,Potts Preserve,-82.27888,28.90631,http://www.tripleblaze.com/trail.php?c=3&i=8171,"The property was acquired for protection of the area's groundwater recharge, as well as important surface water features and wetland habitats. The preserve's wetlands play a role in both the Tsala Apopka Chain of Lakes and the Withlacoochee River systems, part of the Floridan aquifer's recharge/discharge system. Additionally, the site provides habitat to wildlife, including a small population of threatened Florida scrub-jays.",30.00
Crystal River,Florida,Crystal River Archaeological State Park,-82.62877,28.90901,http://www.tripleblaze.com/trail.php?c=3&i=4819,The park has a museum of all the old artifacts that have been collected from the Indain Mounds with several display cases. There are acouple Indain Mounds you can walk around &amp; even stairs &amp; a platform on the top of one.,1.00
Crystal River,Florida,Churchhouse Hammock Trail,-82.6071,28.91181,http://www.tripleblaze.com/trail.php?c=3&i=3805,"Ther is two different trails, you have a boardwalk trail &amp; a primitive trail off the boardwalk. There is a restroom &amp; a pavilion, no drinking water.",2.00
Crystal River,Florida,Crystal Cove,-82.63431,28.9165,http://www.tripleblaze.com/trail.php?c=3&i=3804,"Along the trail you see freshwater ponds &amp; Crystal River tidal marshes. You can also kayak &amp; canoe. There is a restroom, fishing &amp; no drinking water.",2.00
Crystal River,Florida,7 Mile Loop,-82.63613,28.91921,http://www.tripleblaze.com/trail.php?c=3&i=3826,"There isn't any restrooms or drinking water at the trailhead. The trail take you on a tour of pine flatwoods, basin marsh, tidal marsh, wet hardwood hammocks &amp; basin swamps. The trail can be muddy during rainy season.",8.00
Oak Hill,Florida,Canaveral National Seashore,-80.823942,28.926879,http://www.tripleblaze.com/trail.php?c=3&i=2926,"The seashore and refuge offer short self-guided trails. Castle Windy and Turtle Mound trails have shell middens left by Timucuan Indians. Turtle Mound Trail boasts a view of the ocean and Mosquito Lagoon. Eldora Hammock, Oak Hammock, and Palm Hammock trails wind through densely vegetated hammocks. Cruickshank Trail has an observation tower and marsh views.&lt;br /&gt;<br />Source: National Park Service",0.00
Crystal River,Florida,Eco-Walk Trail,-82.62787,28.94717,http://www.tripleblaze.com/trail.php?c=3&i=3803,"This is an iterpretive trail, the trail winds through pasture &amp; marsh with flatwoods &amp; hammocks. There is a restroom there just no drinking water.",3.00
Edna,Texas,Lake Texana State Park,-96.552675,28.960936,http://www.tripleblaze.com/trail.php?c=3&i=5524,"Lake Texana State Park offers a wide variety of wildlife for visitors to observe and enjoy. Activities here include boating, swimming, hiking, fishing and camping.",0.00
Deland,Florida,Hammock Hiking Trail/Hontoon Island (Florida),-81.359594,28.974269,http://www.tripleblaze.com/trail.php?c=3&i=2744,Free Ferry and free admission into the park. 3 mile roundtrip hike that ends at Dead River.,3.00
Paisley,Florida,Paisley Woods Trail - Ocala National Forest,-81.55025,28.97665,http://www.tripleblaze.com/trail.php?c=3&i=881,"Paisley Woods Trail - Ocala National Forest features 22 miles of hiking trails near Paisley, FL.",22.00
Paisley,Florida,Florida Trail: Clearwater Rec. Area - Alexander Springs Rec. Area,-81.550203,28.976755,http://www.tripleblaze.com/trail.php?c=3&i=2871,"The trail travels across open sand ridges, Thick bay heads and pine flat woods. Deer and birds are common along the tail, but Ticks, Chiggers and mosquitoes can be irritating so be sure to brig insect repellent.&lt;br /&gt;<br />&lt;br /&gt;<br />Camping is allowed anywhere along the the Florida Trail in the Ocala National Forest",10.00
Deland,Florida,Lake Beresford Park Nature Trail,-81.33574,28.99519,http://www.tripleblaze.com/trail.php?c=3&i=1274,"Lake Beresford Park Nature Trail features 2 miles of hiking trails near Deland, FL.",2.00
Crystal River,Florida,Dixon Hammock,-82.70319,29.00214,http://www.tripleblaze.com/trail.php?c=3&i=4241,This park and trail are part of the Marjorie Harris Carr Cross Florida Greenway.,6.00
Crystal River,Florida,Inglis Island Trail,-82.61607,29.0112,http://www.tripleblaze.com/trail.php?c=3&i=4240,"Inglis Island Trail is an easy access trail, and the area around the dam is handicap accessible. The rest of the trail is a wilderness walking trail. Location of the trail is in northern Citrus County nine and half miles north of the Crystal River. Inglis Island Trail is a beautiful, unspoiled, island wilderness walking trail of 1,200 acres.",4.00
Crystal River,Florida,Felburn Park,-82.65716,29.01293,http://www.tripleblaze.com/trail.php?c=3&i=4238,"This trail provides a mix of birding habitat from scrub, hardwood hammocks, flatlands, and coastal area.",2.00
Crystal River,Florida,Withlacoochee Bay Trail,-82.65732,29.01301,http://www.tripleblaze.com/trail.php?c=3&i=4239,"There is a beautiful observation deck at the end of the trail overlooking the Bay, with other observation decks along the canal. There is a canoe/kayak launch at mile marker 4.",5.00
Ocala,Florida,Ross Prairie State Forest/ Holly Hammock,-82.296171,29.032821,http://www.tripleblaze.com/trail.php?c=3&i=3081,"This trail is part of the Florida Trailwalker Program. It is a 2.3 mile loop where you will hike through depression marshes, sandhill, scrubby flatwoods, mesic hammock, mesic flatwoods, and scrub.",2.00
Dunnellon,Florida,Halpata Tastanaki Preserve,-82.37545,29.04223,http://www.tripleblaze.com/trail.php?c=3&i=3827,"There is restroom &amp; no drinking water. A variety of plant communities occur on the property, including floodplain swamp and oak scrub along the Withlacoochee River and longleaf pine turkey oak sandhills occurring in upland areas. Recovering stands of oak scrub scattered amid the sandhill support the threatened Florida scrub-jay. This is also a multi trail use.",17.00
New Smyrna Beach,Florida,Spruce Creek Preserve,-81.00134,29.06687,http://www.tripleblaze.com/trail.php?c=3&i=915,"Spruce Creek Preserve features 0 miles of hiking trails near New Symrna/deland, FL.",0.00
Dunnellon,Florida,Rainbow Springs State Park Garden and Nature Trail,-82.448573,29.103003,http://www.tripleblaze.com/trail.php?c=3&i=3073,"The Head Springs area of the Rainbow Springs State Park offers a swimming area, a fairly large native plant garden and a nature trail through pine flatwoods with views of phosphate pits. Canoe rentals are available for use on the Rainbow River. There is also many paved trails through old theme park attractions such as a zoo area and 4 man-made waterfalls.&lt;br /&gt;<br />&lt;br /&gt;<br />FL State Parks Site: http://www.floridastateparks.org/rainbowsprings/",5.00
Ocala,Florida,Santos,-82.09494,29.10427,http://www.tripleblaze.com/trail.php?c=3&i=408,"Santos features 60 miles of hiking trails near Ocala, FL.",60.00
Ocala,Florida,Twister,-82.09566,29.10517,http://www.tripleblaze.com/trail.php?c=3&i=2148,"Twister features 3 miles of hiking trails near Ocala, FL.",3.00
Ocala,Florida,Sholom Park,-82.25271,29.1158,http://www.tripleblaze.com/trail.php?c=3&i=3828,"There is a restroom &amp; drinking water here. This is a botanical garden, with alot of different plants to look at. There is a big pond with fish &amp; dock so you can feed them.",2.00
De Leon Springs,Florida,Lake Woodruff NWR,-81.386527,29.120316,http://www.tripleblaze.com/trail.php?c=3&i=3267,Lake Woodruff National Wildlife Reserve is a massive refuge that was designed to provide habitat for migratory birds. There are several trail in the Reserve that are open to foot travel.,10.00
De Leon Springs,Florida,Chuck Lennon Park,-81.36403,29.12503,http://www.tripleblaze.com/trail.php?c=3&i=941,"Chuck Lennon Park features 3 miles of hiking trails near De Leon Springs, FL.",3.00
Astor,Florida,Bluffton Interpretive Trail,-81.50311,29.12542,http://www.tripleblaze.com/trail.php?c=3&i=3732,"This is a nice short trail with information on the different plants in this forest. It has a restroom &amp; picnic pavilion, plus a place to launch a canoe or fish from the dock.",1.00
Dunellon,Florida,Goethe State Forest/ Black Prong,-82.623306,29.15347,http://www.tripleblaze.com/trail.php?c=3&i=3083,"This trail is part of the Florida Trailwalker Program. Goethe State Forest has more than 15 different natural communities and may contain the largest tract of contiguous, old-growth longleaf pine flatwoods in the state. It also features scrubby flatwoods, dome swamp, sandhill, and basin swamp. Black Prong is a loop trail extending a total of 10 miles but there are shortcuts if you want to take a shorter hike.",5.00
Dunellon,Florida,Goethe State Forest,-82.628618,29.159705,http://www.tripleblaze.com/trail.php?c=3&i=3260,"Goethe State Forest has more than 15 different natural communities and may contain the largest tract of contiguous, old-growth longleaf pine flatwoods in the state. It also features scrubby flatwoods, dome swamp, sandhill, and basin swamp.",10.00
Dunellon,Florida,Goethe State Forest/ Buck Island Pond,-82.628627,29.159899,http://www.tripleblaze.com/trail.php?c=3&i=3084,"This trail is part of the Florida Trailwalker Program. Goethe State Forest has more than 15 different natural communities and may contain the largest tract of contiguous, old-growth longleaf pine flatwoods in the state. It also features scrubby flatwoods, dome swamp, sandhill, and basin swamp. Buck Island Prong Trail is 1.8 miles.",2.00
